profile,rtt_ms,mode,i,compute_ms,transport_ms,total_ms,label_match,transport_model
regional,100.0,plaintext,1,0.077,100.032,100.109,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-cold,1,5096.355,605.313,5701.668,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-warm,1,238.141,605.313,843.454,1,analytic: rtt + bytes/bandwidth
regional,100.0,plaintext,2,0.061,100.037,100.098,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-cold,2,5010.516,605.599,5616.115,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-warm,2,234.216,605.599,839.815,1,analytic: rtt + bytes/bandwidth
regional,100.0,plaintext,3,0.052,100.036,100.089,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-cold,3,4952.029,605.279,5557.308,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-warm,3,234.905,605.279,840.184,1,analytic: rtt + bytes/bandwidth
regional,100.0,plaintext,4,0.052,100.032,100.084,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-cold,4,4986.344,605.487,5591.831,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-warm,4,229.034,605.487,834.521,1,analytic: rtt + bytes/bandwidth
regional,100.0,plaintext,5,0.048,100.032,100.08,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-cold,5,4901.02,605.308,5506.328,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-warm,5,224.463,605.308,829.771,1,analytic: rtt + bytes/bandwidth
regional,100.0,plaintext,6,0.054,100.036,100.09,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-cold,6,4908.338,605.578,5513.916,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-warm,6,263.48,605.578,869.058,1,analytic: rtt + bytes/bandwidth
regional,100.0,plaintext,7,0.059,100.032,100.09,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-cold,7,5064.502,605.604,5670.106,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-warm,7,279.317,605.604,884.921,1,analytic: rtt + bytes/bandwidth
regional,100.0,plaintext,8,0.049,100.031,100.08,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-cold,8,4075.221,605.679,4680.9,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-warm,8,174.636,605.679,780.315,1,analytic: rtt + bytes/bandwidth
regional,100.0,plaintext,9,0.032,100.036,100.068,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-cold,9,2373.446,605.194,2978.64,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-warm,9,102.438,605.194,707.632,1,analytic: rtt + bytes/bandwidth
